paragraph,title,link,image_url
"Two telescopes in Hawaii and Chile spotted in the thick Venutian clouds the
chemical signature of phosphine, a noxious gas that on Earth is only
associated with life, according to a study in Monday's journal Nature
Astronomy.",Astronomers see possible hints of life in Venus’s clouds,https://www.indiatoday.in//science/story/astronomers-see-possible-hints-of-life-in-venus-s-clouds-1721827-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202006/venus_reuters_1-170x96.jpeg?gPww6.2Vyr0LEzDHmABV0rhAlK4YHhLK
"The state has the most concentrated outbreak of any of the high burden states
in the country.",Bengaluru drives Karnataka's Covid-19 outbreak ,https://www.indiatoday.in//diu/story/bengaluru-drives-karnataka-s-covid-19-outbreak-1721825-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/testing-170x96.jpeg?wS_fuIjOzyfV_yeu9YabJX2Mx5tLJ_Or
"Congress MP Shashi Tharoor recently praised author Chetan Bhagat's article in
a national daily using the words ""sesquipedalian"", ""rodomontade"", ""limpid""
and ""perspicacity"".",Tharoorsaurus decoded: What Shashi Tharoor said in praise of Chetan Bhagat ,https://www.indiatoday.in//india/story/tharoorsaurus-decoded-what-shashi-tharoor-said-in-praise-of-chetan-bhagat-1721819-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Bhagat_Shashi-170x96.jpeg?lfEgptx15bOPUkAX9G3l5mrQIcxAyMpy
"The export of all varieties of onions has been banned by the central
government.",Government bans export of all kind of onions with immediate effect,https://www.indiatoday.in//india/story/government-bans-export-of-all-kind-of-onions-with-immediate-effect-1721814-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/onions-pti-170x96.jpeg?45zvHKa2YjdKlXWdf1_j4L6a7FhPN7wc
"During a review meeting on Monday, Uttar Pradesh CM Yogi Adityanath directed
officials to rename the under-construction Mughal Museum in Agra to
Chhatrapati Shivaji Maharaj Museum.",UP govt renames Agra's Mughal Museum to Chhatrapati Shivaji Maharaj Museum,https://www.indiatoday.in//india/story/up-govt-renames-agra-s-mughal-museum-to-chhatrapati-shivaji-maharaj-museum-1721812-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Mughal_Museum_Agra-170x96.png?8ReTgYR9dEilPA96YJK5L6hgXRq5sI3z
"England pacer Jofra Archer responds to Michael Holding’s comments about
England and Australia players not taking a knee in support of the 'Black
Lives Matter' movement",It is harsh of Mikey to not do research before criticising: Jofra Archer on Michael Holding’s anti-racism rant,https://www.indiatoday.in//sports/cricket/story/jofra-archer-michael-holding-black-lives-matter-aaron-finch-old-trafford-england-cricket-1721810-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Jofra_Archer-170x96.jpeg?_c21AlyQ5fOXO934vRojq3nAy2yVNFXE
"Bengal CM Mamata Banerjee has announced a stipend of Rs 1000 per month for
Brahmin priests in the state.","Ahead of assembly polls, CM Mamata Banerjee announces stipend for Brahmin priests in Bengal",https://www.indiatoday.in//india/story/ahead-of-assembly-polls-cm-mamata-banerjee-announces-stipend-for-brahmin-priests-in-bengal-1721809-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/mamata-banerjee-pti-14sept-170x96.jpeg?QekzJOO79eqkA3Vi7iV1d2hd6wOg5isc
"Virat Kohli and Kesrick Williams were involved in a funny sledging incident
during a T20 match between India and West Indies in Hyderabad last year.",Virat Kohli started saying stuff I don't want to repeat: Kesrick Williams on getting sledged by India captain,https://www.indiatoday.in//sports/cricket/story/virat-kohli-kesrick-williams-sledging-notebook-celebration-india-vs-west-indies-2019-hyderabad-t20i-1721806-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Kesrick-and-Kohli-KVS-Girijpg-170x96.jpeg?n6uVVwr6BEykBziU9JDAZ3KgAnseJImV
"A picture of a crashed helicopter is being shared by several Pakistani social
media handles with the claim that it is an IAF chopper that recently crashed
in Ladakh amid tensions between India and China. ",Fact Check: Why Pak social media users' glee at crashed IAF chopper is misplaced ,https://www.indiatoday.in//fact-check/story/why-pak-social-media-users-glee-at-crashed-iaf-chopper-is-misplaced-1721805-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/thumbnail_Pic_1-170x96.png?5nlcwU8.nDGGKN6fnTi5CIuSXIFIqPwq
"Nominated to Rajya Sabha from Bihar, JD(U) leader Harivansh Narayan Singh was
praised by MPs across political lines on his election to the post of deputy
chairman of Rajya Sabha for a second consecutive term","‘Umpire’ respected across political lines, Harivansh Singh elected dy chairman of Rajya Sabha again",https://www.indiatoday.in//india/story/-umpire-respected-across-political-lines-harivansh-singh-elected-dy-chairman-of-rajya-sabha-again-1721801-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Harivansh_Singh__PTI__0-170x96.jpeg?0PfZSJGo1PwR5awjkSWIvRZ92n6FMLPi
"Rhea Chakraborty's brother Showik Chakraborty's lawyer will approach Bombay
High Court after the sessions court rejected his bail plea. Showik was
arrested by Narcotics Control Bureau (NCB) for procuring drugs.",Showik Chakraborty lawyer to approach Bombay High Court after sessions court rejects bail plea,https://www.indiatoday.in//movies/celebrities/story/showik-chakraborty-lawyer-to-approach-bombay-high-court-after-sessions-court-rejects-bail-plea-1721791-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/showik2-170x96.png?FMZoI1PfFsxIOVZ1X_CwfS3f6BviK7YU
"The NCB has said that the six men it arrested for drug peddling are directly
or indirectly linked to Rhea Chakraborty, Showik Chakraborty and Sushant
Singh Rajput.","6 men arrested for drug peddling linked to Rhea, Showik: NCB",https://www.indiatoday.in//india/story/6-men-arrested-for-drug-peddling-linked-to-rhea-showik-ncb-1721790-2020-09-14,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/sushant_showik_rhea-170x96.jpeg?NZEcKq4V_4rvrhljZsjgl2NrJNNCTwZE
