paragraph,title,link,image_url
"As Bengalis across the globe prepare to listen to the iconic radio programme
""Mahisasuramardini"" at dawn on Mahalaya on Thursday, here's the story of a
true radio connoisseur from Kolkata.","This Mahalaya, meet Kolkata's last radio man",https://www.indiatoday.in//india/story/this-mahalaya-meet-kolkata-s-last-radio-man-1722542-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/IMG_20200912_124106-170x96.jpeg?zNR2UgTDjslloUF51uUzGWexKOMEMpGl
"SP and Congress leaders have slammed CM Yogi Adityanath for renaming Mughal
Museum in Agra after Maratha king Chhatrapati Shivaji.",UP govt's decision to rename Mughal Museum in Agra after Shivaji draws criticism,https://www.indiatoday.in//india/story/up-govt-s-decision-to-rename-mughal-museum-in-agra-after-shivaji-draws-criticism-1722537-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Mughal_Museum_Agra_1200x768-170x96.jpeg?67xIV.XYA4SrDswJnJsmFiLnIpedtBXr
"Former track federation president Lamine Diack was sentenced Wednesday to two
years in prison for corruption during his nearly 16-year tenure at the IAAF.",Former IAAF president Lamine Diack sentenced to 2 years in prison on corruption charges,https://www.indiatoday.in//sports/other-sports/story/former-iaaf-president-lamine-diack-sentenced-to-2-years-in-prison-on-corruption-charges-1722533-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/AP20258605658089-170x96.jpeg?QkzlPYHNeGbgBp8W1aOCuIIqZmRV7dET
"Mexico held a symbolic raffle for a luxury presidential jet that President
Andres Manuel Lopez Obrador calls an ""insult"" to the people and which has yet
to find a buyer.",Mexico holds symbolic raffle for unwanted presidential jet,https://www.indiatoday.in//world/story/mexico-holds-symbolic-raffle-for-unwanted-presidential-jet-1722527-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/mexico-170x96.png?.mvDYmY53.4OTZp18zFIrAIlYqgbhOuE
"An Australian university student who has never visited China and has only a
modest social media following would seem an unlikely target for the Chinese
government.",Young Australian an unlikely target for China's fury,https://www.indiatoday.in//world/story/young-australian-an-unlikely-target-for-china-fury-1722525-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/X5KhIT9M_400x400-170x96.jpeg?xdE66GhbbzBqoMls6gCGIlSKb_j4yI6z
"IPL 2020: AB de Villiers has already told his Royal Challengers Bangalore
captain Virat Kohli that he will be ready to even bowl if the need arises.",IPL 2020: AB de Villiers ready to help RCB and Virat Kohli with the ball if required,https://www.indiatoday.in//sports/ipl-2020/story/ab-de-villiers-ready-to-bowl-for-virat-kohli-royal-challengers-bangalore-ipl-2020-1722526-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Eh8wrURU4AEca5x-170x96.jpeg?fip0sy5uGe2J4MoRJAXdoW7PKKOtDmiu
"A picture of a young woman is circulating on social media with the claim that
she is Dr Vidhi, a medical professional from Ahmedabad, who succumbed to
Covid-19. India Today Anti Fake News War Room (AFWA) has found that the viral
picture is of a South Indian actor and model.",Fact Check: Actor's picture shared on social media as doc who died of Covid-19 ,https://www.indiatoday.in//fact-check/story/fact-check-actor-s-picture-shared-on-social-media-as-doc-who-died-of-covid-19-1722520-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/pic-1-170x96.jpeg?BF1v6bgI_QmYqzBItRGNpRAdtJ6XjlZ_
"Television actress Gia Manek of Saath Nibhaana Saathiya fame to participate
in Bigg Boss 14.",Original Gopi Bahu Gia Manek is the latest Bigg Boss 14 contestant,https://www.indiatoday.in//television/reality-tv/story/original-gopi-bahu-gia-manek-is-the-latest-bigg-boss-14-contestant-1722515-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/giaa-170x96.jpeg?ltjNcwGtOdbLKPQ8m4UobETmxT3uvBcz
"Sunil Gavaskar pointed out that the experience of playing in the finals and
the talent that Mumbai Indians have in their current squad will make them one
of the teams to beat in IPL 2020.","IPL 2020: Won't be too hard for Mumbai Indians to win 5th title, says Sunil Gavaskar",https://www.indiatoday.in//sports/ipl-2020/story/sunil-gavaskar-team-preview-mumbai-indians-mi-ipl-2020-1722517-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/IMG_1133-170x96.jpeg?DGEaoGcS2HK3SzkzNjRQym3VWjzSJ1gP
"The Australian government's plan for a ""gas-fired recovery"" of its
coronavirus-hit economy ignited fears that it would lock in fossil fuel
dependence for another generation in a country already ravaged by climate
change","Australia doubles down on fossil fuels, firing up critics",https://www.indiatoday.in//world/story/australia-doubles-down-on-fossil-fuels-firing-up-critics-1722513-2020-09-16,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/Scott_Morrison-170x96.jpeg?_yBm9szG_iqkNiGyslPvH2MEzdTS.Fw9
